Unnamed: 0,Unnamed: 0.1,title,rate,type,producer,publish_date
0,0.0,恶棍天使,4.0, 喜剧, 中国大陆,2015
3,3.0,王牌逗王牌,3.3, 喜剧 , 中国大陆 ,2016
5,5.0,三生三世十里桃花,3.9, 爱情 , 中国大陆,2017
7,7.0,冰封：重生之门,3.6, 喜剧 , 中国大陆,2014
8,8.0,摆渡人,4.0, 喜剧 , 中国大陆 ,2016
10,10.0,何以笙箫默,3.6, 爱情, 中国大陆,2015
12,12.0,澳门风云3,4.0, 喜剧 , 香港 ,2016
13,13.0,纯洁心灵·逐梦演艺圈,2.2, 剧情 , 中国大陆,2017
14,14.0,爵迹,3.8, 动画 , 中国大陆,2016
15,15.0,大闹天竺,3.7, 喜剧 , 中国大陆,2017
18,18.0,新娘大作战,3.9, 喜剧 , 中国大陆 ,2015
20,30.0,东北往事之破马张飞,3.5, 喜剧 , 中国大陆,2017
21,31.0,天机·富春山居图,2.9, 动作 , 中国大陆,2013
24,34.0,封神传奇,2.9, 剧情 , 香港 ,2016
26,36.0,蒸发太平洋,3.3, 剧情 , 中国大陆 ,2016
27,37.0,白发魔女传之明月天国,3.7, 动作 , 中国大陆 ,2014
29,39.0,李雷和韩梅梅,3.5, 剧情 , 中国大陆,2017
30,50.0,封门村,2.7, 悬疑 , 中国大陆,2014
31,51.0,奔跑吧！兄弟,3.4, 喜剧, 中国大陆,2015
33,53.0,大话西游3,3.6, 喜剧 , 中国大陆 ,2016
39,59.0,欢乐喜剧人,2.5, 喜剧, 中国大陆,2017
41,71.0,京城81号2,3.8, 剧情 , 中国大陆,2017
42,72.0,特殊身份,4.0, 动作 , 中国大陆,2013
44,74.0,浪漫天降,3.7, 喜剧 , 中国大陆,2015
45,75.0,王朝的女人·杨贵妃,3.6, 爱情 , 中国大陆,2015
46,76.0,校花诡异事件,3.1, 惊悚 , 中国大陆,2013
47,77.0,女人公敌,3.5, 喜剧, 中国大陆,2013
48,78.0,青禾男高,3.9, 剧情, 中国大陆 ,2017
49,79.0,奔爱,3.8, 剧情 , 中国大陆,2016
50,90.0,泡沫之夏,2.6, 剧情 , 中国大陆,2016
52,92.0,人间蒸发,2.8, 悬疑 , 中国大陆 ,2013
53,93.0,惊天破,3.9, 剧情 , 中国大陆 ,2016
54,94.0,降魔传,2.9, 喜剧 , 中国大陆,2017
55,95.0,从天“儿”降,3.5, 喜剧, 中国大陆,2015
56,96.0,谋杀似水年华,3.8, 爱情 , 中国大陆 ,2016
58,98.0,沙子怪物,4.0, 科幻 , 美国,2015
60,110.0,我的新野蛮女友,3.6, 喜剧 , 韩国 ,2016
61,111.0,大寒桃花开,3.4, 爱情 , 中国大陆,2014
63,113.0,铁血娇娃,3.4, 动作 , 中国大陆,2013
64,114.0,大话天仙,3.0, 喜剧 , 中国大陆 ,2014
67,117.0,钢刀,3.9, 剧情 , 中国大陆,2016
71,131.0,不可思异,3.8, 剧情 , 中国大陆,2015
72,132.0,非狐外传,3.2, 爱情 , 中国大陆 ,2014
73,133.0,三月情流感,3.6, 喜剧 , 中国大陆,2013
74,134.0,枕边有张脸,3.8, 悬疑 , 中国大陆,2013
76,136.0,疯岳撬佳人,3.2, 喜剧 , 中国大陆,2017
79,139.0,女生宿舍,3.9, 悬疑 , 中国大陆,2014
81,151.0,尸囚狱：前篇,3.9, 剧情 , 日本,2017
82,152.0,古堡之吻,3.7, 爱情, 中国大陆 ,2014
83,153.0,冲天火,3.6, 动作 , 中国大陆,2016
84,154.0,梦想合伙人,3.9, 剧情 , 中国大陆,2016
88,158.0,守护者：世纪战元,3.9, 动作 , 俄罗斯,2017
89,159.0,大嫂,3.3, 剧情 , 香港 ,2017
90,170.0,笔仙大战贞子,4.0, 惊悚 , 中国大陆,2016
91,171.0,快乐到家,3.2, 喜剧, 中国大陆,2013
92,172.0,疯狂的导演,3.1, 喜剧, 中国大陆,2013
95,175.0,在一起,3.6, 爱情, 香港 ,2013
96,176.0,白狐,3.3, 动作 , 中国大陆,2013
100,190.0,那件疯狂的小事叫爱情,4.0, 喜剧 , 中国大陆,2016
101,191.0,年少轻狂,3.7, 喜剧 , 中国大陆,2015
104,194.0,我的播音系女友,3.6, 喜剧 , 中国大陆,2014
105,195.0,勇士之门,3.5, 奇幻 , 中国大陆 ,2016
106,196.0,汽车人总动员,2.3, 喜剧 , 中国大陆,2015
107,197.0,沙西米,4.0, 情色, 台湾,2015
112,212.0,情遇曼哈顿,3.8, 喜剧 , 中国大陆,2017
113,213.0,致我们终将到来的爱情,3.6, 喜剧 , 中国大陆,2016
115,215.0,相声大电影之我要幸福,3.0, 剧情 , 中国大陆,2017
118,218.0,电梯惊魂,3.5, 悬疑 , 中国大陆,2013
124,234.0,诡婴吉咪,3.6, 惊悚, 中国大陆,2013
128,238.0,夜闯寡妇村,2.4, 悬疑 , 中国大陆,2017
129,239.0,鲨卷风,3.7, 喜剧 , 美国,2013
130,250.0,谁说我们不会爱,3.5, 爱情, 中国大陆,2014
131,251.0,半熟少女,3.2, 剧情 , 中国大陆,2016
132,252.0,抢红,3.0, 动作 , 中国大陆,2017
134,254.0,星期8,3.9, 剧情 , 中国大陆,2017
137,257.0,公主的诱惑,3.3, 喜剧 , 中国大陆,2013
138,258.0,会痛的十七岁,3.0, 爱情, 中国大陆,2017
139,259.0,我的极品女神,4.0, 喜剧 , 中国大陆,2016
141,271.0,绝命航班,3.4, 动作 , 中国大陆,2014
143,273.0,爸爸的假期,4.0, 喜剧 , 中国大陆,2015
144,274.0,黑色喜剧,4.0, 喜剧, 香港,2014
146,276.0,私人会所,3.8, 剧情, 香港,2017
147,277.0,野性侵袭,3.6, 动作 , 美国,2017
148,278.0,笔仙惊魂3,3.2, 悬疑 , 中国大陆,2014
149,279.0,开罗宣言,3.2, 剧情 , 中国大陆,2015
150,290.0,帝国秘符,3.1, 动作 , 中国大陆,2013
152,292.0,中国好声音之为你转身,2.5, 剧情 , 中国大陆,2013
153,293.0,热情的邻居,3.9, 剧情 , 韩国,2016
157,297.0,白雪公主之矮人力量,3.4, 喜剧 , 中国大陆,2014
161,311.0,大宅男,3.8, 喜剧 , 台湾 ,2014
162,312.0,赛尔号大电影5：雷神崛起,3.8, 剧情 , 中国大陆,2015
163,313.0,山炮进城2,3.8, 喜剧, 中国大陆,2016
165,315.0,谁动了我的梦想,3.7, 剧情 , 中国大陆,2014
166,316.0,死亡邮件,3.5, 悬疑 , 中国大陆,2014
167,317.0,爸爸的3次婚礼,3.1, 喜剧 , 中国大陆,2016
172,332.0,鲨卷风2,3.9, 喜剧 , 美国,2014
173,333.0,将错就错,3.8, 喜剧 , 中国大陆,2015
176,336.0,极致追击,3.4, 动作 , 中国大陆,2017
179,339.0,诡替身,3.3, 惊悚 , 中国大陆,2014
180,350.0,校花驾到之极品校花,3.2, 剧情, 中国大陆,2014
182,352.0,环大西洋,2.9, 科幻, 美国,2013
184,354.0,中国推销员,3.9, 剧情 , 中国大陆,2017
185,355.0,记忆碎片,3.9, 喜剧 , 中国大陆,2016
195,375.0,美人邦,3.5, 喜剧 , 中国大陆,2014
197,377.0,喜乐长安,3.0, 动作 , 中国大陆,2016
198,378.0,我是处女座,2.9, 剧情 , 中国大陆,2016
199,379.0,孤岛惊魂2,2.8, 悬疑 , 中国大陆,2013
200,390.0,闪魂,2.7, 惊悚 , 中国大陆,2014
201,391.0,宝贝当家,2.7, 喜剧 , 香港 ,2016
202,392.0,恐怖游泳馆,2.6, 惊悚, 中国大陆,2015
203,393.0,莫日根,2.2, 动画 , 中国大陆,2015
204,394.0,不期而遇,4.0, 喜剧 , 中国大陆 ,2017
205,395.0,冒牌卧底,4.0, 喜剧 , 中国大陆,2016
207,397.0,铠甲勇士捕王,3.8, 动作 , 中国大陆,2016
208,398.0,鲨卷风3,3.7, 喜剧 , 美国,2015
209,399.0,姐妹情室,3.7, 情色, 韩国,2015
210,410.0,清算日,3.4, 动作 , 美国,2016
211,411.0,三更车库,3.3, 悬疑 , 中国大陆,2015
213,413.0,迷人的保姆,3.1, 爱情 , 韩国,2015
215,415.0,后备空姐,3.0, 喜剧, 中国大陆 ,2014
219,419.0,林中小屋,2.8, 爱情 , 中国大陆 ,2014
220,430.0,时间都去哪了,4.0, 剧情 , 中国大陆,2015
221,431.0,好命先生,3.9, 喜剧 , 中国大陆,2014
222,432.0,笔仙Ⅱ,3.9, 悬疑 , 中国大陆,2013
224,434.0,堕落天使,3.9, 爱情 , 美国 ,2016
225,435.0,强制措施,3.9, 惊悚 , 美国,2016
228,438.0,狼母,3.8, 惊悚 , 美国,2016
233,453.0,鲨卷风4：四度觉醒,3.6, 喜剧 , 美国,2016
234,454.0,潘多拉异兽,3.6, 恐怖, 美国,2017
235,455.0,我在路上最爱你,3.5, 剧情 , 中国大陆 ,2014
236,456.0,我是谁2015,3.5, 喜剧 , 中国大陆,2015
239,459.0,奇点,3.4, 科幻, 美国,2017
241,471.0,午夜火车,3.2, 悬疑 , 中国大陆,2013
242,472.0,购物女王,3.1, 喜剧 , 中国大陆,2016
244,474.0,绑架大明星,2.8, 喜剧, 中国大陆,2013
245,475.0,秘术,2.5, 悬疑 , 中国大陆,2014
246,476.0,斗战胜佛,2.5, 喜剧 , 中国大陆,2017
247,477.0,放手爱,2.3, 喜剧 , 中国大陆,2014
249,479.0,辣警霸王花,4.0, 喜剧 , 香港,2016
254,494.0,死亡棚屋,3.9, 喜剧 , 加拿大 Canada,2017
255,495.0,鲨卷风5：全球鲨暴,3.9, 喜剧 , 美国,2017
259,499.0,情事：不要结婚要恋爱,3.7, 爱情, 韩国,2016
260,510.0,我的男男男男朋友,3.6, 喜剧 , 中国大陆,2013
261,511.0,金沙血,3.6, 动作, 美国 ,2017
262,512.0,巴啦啦小魔仙,3.5, 儿童 , 中国大陆,2013
264,514.0,夜半梳头,3.4, 悬疑 , 中国大陆,2014
266,516.0,楼上的女孩,3.3, 爱情 , 韩国,2014
267,517.0,第五名乘客,3.4, 科幻, 美国,2017
269,519.0,城市游戏,3.3, 动作 , 中国大陆 ,2014
270,529.0,巴啦啦小魔仙之魔法的考验,3.3, 儿童 , 中国大陆,2014
271,530.0,青春逗,3.3, 剧情 , 中国大陆,2017
272,531.0,神奇,3.2, 剧情 , 中国大陆,2013
273,532.0,怨灵人偶,2.9, 惊悚 , 中国大陆,2014
275,534.0,我爱灰太狼2,2.8, 喜剧 , 中国大陆,2013
277,536.0,狂野飞车,2.7, 动作 , 中国大陆,2015
279,538.0,骇客交锋,4.0, 剧情 , 美国,2015
280,539.0,古镇凶灵之巫咒缠身,4.0, 惊悚 , 中国大陆,2013
282,551.0,猪猪侠之终极决战,4.0, 喜剧 , 中国大陆,2015
283,552.0,勾当2：红色骆驼,4.0, 剧情, 韩国,2015
284,553.0,山炮进城,3.9, 喜剧, 中国大陆,2015
285,554.0,凶手还未睡,3.9, 剧情 , 香港,2016
286,555.0,我的老婆是明星,3.9, 喜剧 , 香港,2016
287,556.0,龙拳小子,3.9, 喜剧 , 中国大陆,2016
288,557.0,潜艇总动员4：章鱼奇遇记,3.9, 喜剧 , 中国大陆,2014
289,558.0,女人永远是对的,3.8, 喜剧 , 香港,2017
293,572.0,满洲里来的人,3.8, 剧情 , 中国大陆,2015
294,573.0,当我成为你,3.8, 爱情 , 中国大陆,2016
295,574.0,功夫侠,3.7, 动作, 美国 ,2013
297,576.0,土豪520,3.6, 喜剧 , 中国大陆,2015
300,579.0,爱我就陪我看电影,3.5, 喜剧 , 中国大陆,2015
301,590.0,全美洗车女郎,3.5, 喜剧, 美国,2015
303,592.0,蜜月酒店杀人事件,3.4, 剧情 , 中国大陆 ,2016
304,593.0,呆呆计划,3.4, 剧情 , 中国大陆,2016
308,597.0,时光恋人,3.3, 剧情 , 中国大陆,2013
309,598.0,嫐,3.3, 剧情, 台湾,2017
310,599.0,张震讲故事之鬼迷心窍,3.2, 悬疑 , 中国大陆,2015
313,611.0,708090之深圳恋歌,3.0, 剧情 , 中国大陆,2016
315,613.0,蝴蝶公墓,2.9, 爱情 , 中国大陆,2017
316,614.0,灵臆事件,2.9, 惊悚 , 中国大陆,2015
318,616.0,怖偶,2.8, 悬疑 , 中国大陆,2014
319,617.0,楼,2.8, 悬疑 , 中国大陆,2013
320,618.0,惊魂电影院,2.8, 惊悚, 中国大陆,2015
321,619.0,床下有人2,2.7, 悬疑 , 中国大陆,2014
322,630.0,情剑,2.7, 武侠 , 中国大陆,2015
323,631.0,咸鱼传奇,2.7, 喜剧, 中国大陆,2017
324,632.0,致命闪玩,2.7, 剧情 , 中国大陆,2013
326,634.0,笔仙撞碟仙,2.4, 惊悚 , 中国大陆,2016
329,637.0,亲，别怕,2.3, 惊悚, 中国大陆,2015
331,639.0,碟仙之毕业照,2.2, 惊悚 , 中国大陆,2017
332,650.0,探灵档案,4.0, 悬疑 , 中国大陆,2015
334,652.0,新建文件夹,4.0, 情色, 韩国,2014
339,657.0,幸存者,3.9, 惊悚 , 美国,2014
